Expocode = 33BI20211008
Vessel = R/V Sikuliaq
Investigators = Sweeney C.; Newberger T.; Sutherland S.C.; Munro D.R.
EXPOCODE,YEAR,MONTH,DAY,HOUR,MIN,SEC,LATITUDE,LONGITUDE,XCO2_WATER_TEQ_DRY [UMOL/MOL],P_EQU [HPA],P_ATM [HPA],T_EQU [DEG_C],SST [DEG_C],SSS,FCO2_WATER_SST_WET [UATM],PCO2_WATER_SST_WET [UATM],XCO2_WATER_SST_DRY [UMOL/MOL]
33BI20211008,2021,10,8,4,22,37.2658,64.4392,-165.7356,-999,991.8,990.6,6.65,6.2,25.48,-999,-999,-999
33BI20211008,2021,10,8,4,25,22.5147,64.4382,-165.7584,-999,991.8,990.6,6.66,6.24,25.55,-999,-999,-999
33BI20211008,2021,10,8,4,28,7.778,64.4372,-165.7812,-999,991.7,990.5,6.6,6.21,25.63,-999,-999,-999
33BI20211008,2021,10,8,4,30,53.0415,64.4361,-165.8038,-999,991.6,990.4,6.61,6.2,25.69,-999,-999,-999
33BI20211008,2021,10,8,4,33,38.3103,64.4351,-165.8264,-999,991.5,990.3,6.65,6.23,25.76,-999,-999,-999
33BI20211008,2021,10,8,4,36,23.5757,64.434,-165.849,-999,991.4,990.2,6.62,6.25,25.81,-999,-999,-999
33BI20211008,2021,10,8,4,39,8.8499,64.433,-165.8718,-999,991.3,990.1,6.66,6.27,25.84,-999,-999,-999
33BI20211008,2021,10,8,4,41,54.0895,64.432,-165.8945,-999,991.3,990.1,6.69,6.29,25.88,-999,-999,-999
33BI20211008,2021,10,8,4,44,39.3845,64.4311,-165.9175,-999,991.2,990,6.69,6.3,25.92,-999,-999,-999
33BI20211008,2021,10,8,4,47,24.6315,64.4303,-165.9406,-999,991.1,989.9,6.71,6.33,25.95,-999,-999,-999
33BI20211008,2021,10,8,4,50,9.895,64.4295,-165.9637,-999,991.1,989.8,6.76,6.36,25.99,-999,-999,-999
33BI20211008,2021,10,8,4,52,54.9237,64.4288,-165.9869,-999,991,989.8,6.82,6.39,26.1,-999,-999,-999
33BI20211008,2021,10,8,4,55,40.3912,64.4281,-166.0102,-999,990.9,989.7,6.78,6.4,26.22,-999,-999,-999
33BI20211008,2021,10,8,4,58,25.6613,64.4274,-166.0335,-999,990.8,989.6,6.8,6.4,26.27,-999,-999,-999
33BI20211008,2021,10,8,5,1,10.9232,64.4266,-166.0566,-999,990.7,989.6,6.78,6.4,26.28,-999,-999,-999
33BI20211008,2021,10,8,5,3,56.2159,64.4257,-166.0797,-999,990.7,989.5,6.74,6.38,26.39,-999,-999,-999
33BI20211008,2021,10,8,5,6,41.5052,64.4248,-166.1029,-999,990.6,989.3,6.73,6.36,26.44,-999,-999,-999
33BI20211008,2021,10,8,5,9,26.8193,64.4239,-166.1261,-999,990.5,989.2,6.75,6.35,26.54,-999,-999,-999
33BI20211008,2021,10,8,5,53,53.9523,64.4884,-166.4113,-999,989.9,988.5,6.77,6.38,26.45,-999,-999,-999
33BI20211008,2021,10,8,5,56,39.8359,64.4952,-166.4257,-999,990.4,988.5,6.78,6.38,26.48,-999,-999,-999
33BI20211008,2021,10,8,5,59,25.1072,64.5019,-166.44,-999,990.4,988.5,6.77,6.38,26.6,-999,-999,-999
33BI20211008,2021,10,8,6,2,10.3928,64.5085,-166.4542,-999,990.3,988.6,6.78,6.39,26.72,-999,-999,-999
33BI20211008,2021,10,8,6,4,55.636,64.5151,-166.4683,-999,990.3,988.5,6.79,6.4,26.78,-999,-999,-999
33BI20211008,2021,10,8,6,7,40.8906,64.5215,-166.4824,-999,990.3,988.5,6.82,6.41,26.78,-999,-999,-999
33BI20211008,2021,10,8,6,10,26.1458,64.528,-166.4964,-999,990.4,988.5,6.83,6.42,26.74,-999,-999,-999
33BI20211008,2021,10,8,6,13,11.3628,64.5344,-166.5105,-999,990.4,988.6,6.83,6.42,26.76,-999,-999,-999
33BI20211008,2021,10,8,6,15,56.6199,64.5409,-166.5244,-999,990.4,988.5,6.82,6.43,26.8,-999,-999,-999
33BI20211008,2021,10,8,6,18,41.8913,64.5474,-166.5384,-999,990.4,988.5,6.82,6.43,26.81,-999,-999,-999
33BI20211008,2021,10,8,6,21,27.1506,64.554,-166.5524,-999,990.3,988.5,6.82,6.42,26.67,-999,-999,-999
